import time: self [us] | cumulative | imported package
import time:       276 |        276 |     torch.cuda.random
import time:       328 |        328 |       torch.cuda.amp.autocast_mode
import time:       382 |        382 |           importlib._abc
import time:       247 |        629 |         importlib.util
import time:       198 |        826 |       torch.cuda.amp.common
import time:       211 |        211 |       torch.cuda.amp.grad_scaler
import time:       488 |       1851 |     torch.cuda.amp
import time:       225 |        225 |     torch.cuda.jiterator
import time:       277 |        277 |     torch.cuda.nvtx
import time:       189 |        189 |     torch.cuda.profiler
import time:       180 |        180 |     torch.cuda.sparse
import time:       607 |        607 |           multiprocessing.process
import time:       465 |        465 |           multiprocessing.reduction
import time:       753 |       1824 |         multiprocessing.context
import time:      1160 |       2983 |       multiprocessing
import time:       325 |       3308 |     torch.cuda.tunable
import time:      4304 |      15060 |   torch.cuda
import time:       289 |        289 |       torch.sparse._semi_structured_conversions
import time:       258 |        258 |       torch.sparse._semi_structured_ops
import time:       749 |       1295 |     torch.sparse.semi_structured
import time:       399 |       1694 |   torch.sparse
import time:       343 |        343 |   torch._compile
import time:       344 |        344 |   torch._VF
import time:       470 |        470 |         torch.nn.parameter
import time:      1014 |       1014 |             torch._prims_common
import time:       345 |        345 |                 torch.utils.backcompat
import time:       563 |        563 |                 torch.utils.collect_env
import time:      1611 |       1611 |                       _queue
import time:       357 |       1967 |                     queue
import time:       238 |        238 |                               torch.distributed._pycute.typing
import time:       378 |        616 |                             torch.distributed._pycute.int_tuple
import time:       370 |        370 |                             torch.distributed._pycute.layout
import time:       323 |       1308 |                           torch.distributed._pycute
import time:       763 |       2071 |                         torch.distributed._mesh_layout
import time:       320 |        320 |                         torch.utils._typing_utils
import time:       450 |        450 |                                 unittest.util
import time:       765 |       1214 |                               unittest.result
import time:       452 |        452 |                                 pprint
import time:       711 |       1162 |                               unittest.case
import time:       440 |        440 |                               unittest.suite
import time:       471 |        471 |                               unittest.loader
import time:       703 |        703 |                                   gettext
import time:       867 |       1570 |                                 argparse
import time:       149 |        149 |                                   unittest.signals
import time:       385 |        534 |                                 unittest.runner
import time:      1052 |       3155 |                               unittest.main
import time:       365 |       6805 |                             unittest
import time:       458 |        458 |                               pkgutil
import time:      2251 |       2708 |                             unittest.mock
import time:      1202 |      10714 |                           torch.utils._config_module
import time:       794 |      11508 |                         torch.distributed.config
import time:       300 |        300 |                           torch.monitor
import time:       211 |        211 |                             torch.distributed.logging_handlers
import time:       287 |        497 |                           torch.distributed.c10d_logger
import time:       248 |        248 |                           torch.distributed.constants
import time:       292 |        292 |                               urllib
import time:       899 |        899 |                               ipaddress
import time:       993 |       2182 |                             urllib.parse
import time:       427 |       2609 |                           torch.distributed.rendezvous
import time:        76 |         76 |                             torchcomms
import time:        15 |         90 |                           torchcomms._comms
import time:      1250 |       4992 |                         torch.distributed.distributed_c10d
import time:      1018 |      19907 |                       torch.distributed.device_mesh
import time:       257 |        257 |                       torch.distributed.remote_device
import time:      6565 |      26728 |                     torch.distributed
import time:       355 |        355 |                                     torch.utils.data.datapipes._hook_iterator
import time:       436 |        790 |                                   torch.utils.data.datapipes._typing
import time:       373 |        373 |                                     torch.utils._import_utils
import time:       309 |        309 |                                       torch.utils.data.datapipes.utils
import time:       799 |       1108 |                                     torch.utils.data.datapipes.utils.common
import time:       706 |        706 |                                     torch.utils.data.dataset
import time:       566 |       2752 |                                   torch.utils.data.datapipes.datapipe
import time:       264 |       3806 |                                 torch.utils.data.datapipes._decorator
import time:       344 |        344 |                                   torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:       177 |        521 |                                 torch.utils.data.datapipes.dataframe.structures
import time:       592 |       4918 |                               torch.utils.data.datapipes.dataframe.dataframes
import time:       455 |        455 |                               torch.utils.data.datapipes.dataframe.datapipes
import time:       248 |       5620 |                             torch.utils.data.datapipes.dataframe
import time:       506 |        506 |                                     torch.utils.data._utils.collate
import time:       214 |        214 |                                     torch.utils.data._utils.fetch
import time:       232 |        232 |                                     torch.utils.data._utils.pin_memory
import time:       182 |        182 |                                     torch.utils.data._utils.signal_handling
import time:      1159 |       1159 |                                     torch.utils.data._utils.worker
import time:       254 |       2544 |                                   torch.utils.data._utils
import time:        16 |       2560 |                                 torch.utils.data._utils.collate
import time:       443 |       3002 |                               torch.utils.data.datapipes.iter.callable
import time:       393 |        393 |                                 torch.utils.data.sampler
import time:       891 |       1284 |                               torch.utils.data.datapipes.iter.combinatorics
import time:       533 |        533 |                               torch.utils.data.datapipes.iter.combining
import time:       274 |        274 |                                 torch.utils.data.datapipes.iter.utils
import time:       228 |        502 |                               torch.utils.data.datapipes.iter.filelister
import time:       170 |        170 |                               torch.utils.data.datapipes.iter.fileopener
import time:       419 |        419 |                               torch.utils.data.datapipes.iter.grouping
import time:       302 |        302 |                                 torch.utils.data.datapipes.utils.decoder
import time:       269 |        571 |                               torch.utils.data.datapipes.iter.routeddecoder
import time:       171 |        171 |                               torch.utils.data.datapipes.iter.selecting
import time:       294 |        294 |                               torch.utils.data.datapipes.iter.sharding
import time:       220 |        220 |                               torch.utils.data.datapipes.iter.streamreader
import time:       242 |       7403 |                             torch.utils.data.datapipes.iter
import time:       619 |        619 |                               torch.utils.data.datapipes.map.callable
import time:       259 |        259 |                               torch.utils.data.datapipes.map.combinatorics
import time:       244 |        244 |                               torch.utils.data.datapipes.map.combining
import time:       179 |        179 |                               torch.utils.data.datapipes.map.grouping
import time:       145 |        145 |                               torch.utils.data.datapipes.map.utils
import time:       368 |       1812 |                             torch.utils.data.datapipes.map
import time:       370 |      15204 |                           torch.utils.data.datapipes
import time:        14 |      15217 |                         torch.utils.data.datapipes.iter
import time:        15 |      15231 |                       torch.utils.data.datapipes.iter.sharding
import time:       137 |        137 |                       torch.utils.data.graph
import time:       260 |      15627 |                     torch.utils.data.graph_settings
import time:       587 |      44908 |                   torch.utils.data.dataloader
import time:       161 |        161 |                   torch.utils.data.distributed
import time:       308 |      45376 |                 torch.utils.data
import time:       126 |        126 |                 torch.utils.deterministic
import time:       343 |        343 |                 torch.utils.hooks
import time:       312 |        312 |                 torch.utils.backend_registration
import time:       113 |        113 |                 torch.utils.cpp_backtrace
import time:       267 |        267 |                 torch.utils.throughput_benchmark
import time:       502 |      47943 |               torch.utils
import time:       270 |        270 |               torchgen
import time:        66 |         66 |                       _winapi
import time:        54 |         54 |                       nt
import time:        46 |         46 |                       nt
import time:        42 |         42 |                       nt
import time:        38 |         38 |                       nt
import time:        44 |         44 |                       nt
import time:        49 |         49 |                       nt
import time:       232 |        568 |                     ntpath
import time:       642 |       1209 |                   pathlib
import time:       290 |        290 |                   torchgen.code_template
import time:       704 |       2202 |                 torchgen.utils
import time:      9563 |      11764 |               torchgen.model
import time:      1017 |      60992 |             torch.utils._python_dispatch
import time:       963 |      62968 |           torch.nn.modules.module
import time:       350 |        350 |                   torch.distributed.autograd
import time:       393 |        393 |                     torch.futures
import time:       246 |        246 |                     torch.distributed.rpc._utils
import time:       213 |        213 |                     torch.distributed.rpc.constants
import time:       646 |        646 |                     torch.distributed.rpc.internal
import time:       594 |       2090 |                   torch.distributed.rpc.api
import time:       448 |        448 |                   torch.distributed.rpc.backend_registry
import time:       217 |        217 |                   torch.distributed.rpc.functions
import time:       215 |        215 |                   torch.distributed.rpc.options
import time:      2023 |       2023 |                                 _csv
import time:       524 |       2546 |                               csv
import time:       366 |        366 |                               email
import time:       408 |        408 |                                   zipfile._path.glob
import time:       698 |       1106 |                                 zipfile._path
import time:       367 |        367 |                                 zipfile.__main__
import time:       843 |       2314 |                               zipfile
import time:       360 |        360 |                                   quopri
import time:       923 |        923 |                                       calendar
import time:       378 |       1301 |                                     email._parseaddr
import time:       174 |        174 |                                       email.base64mime
import time:       385 |        385 |                                       email.quoprimime
import time:       366 |        366 |                                       email.errors
import time:       119 |        119 |                                       email.encoders
import time:       329 |       1370 |                                     email.charset
